phase,scenario_id,sequence,subject,event_type,event_id,overall_score,value_potential,mutual_benefit_potential,learning_potential,risk_cost,recommended_depth,cycle,recovery,energy,fatigue,wakefulness,restraint,life_state_summary
P0,P0-login-response-smoke,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.sys.login.response,formal:formal-all-006-map:P0-login-response-smoke:abb61bed,0.0,0.0,0.661474,0.320089,1.0,none,active,stable,1.0,0.0,0.91,0.62,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.91 restraint=0.62
P0,P0-system-broadcast-smoke,1,sys.broadcast,sys.broadcast.notice_published,formal:formal-all-006-map:P0-system-broadcast-smoke:74f093ec,0.32409,0.715914,0.689691,0.395536,1.0,report,cooldown,cooldown,1.0,0.0,0.79,1.0,cycle=cooldown recovery=cooldown energy=1.00 fatigue=0.00 wakefulness=0.79 restraint=1.00
P1,P1-chat-pressure,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.chat.message.sent,formal:formal-all-006-map:P1-chat-pressure-01:06cd5960,0.0,0.0,0.945981,0.290037,1.0,none,active,stable,1.0,0.0,0.97,0.34,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34
P1,P1-chat-pressure,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.chat.message.sent,formal:formal-all-006-map:P1-chat-pressure-02:1dcad76a,0.0,0.0,0.945981,0.290037,1.0,none,active,stable,1.0,0.0,0.97,0.34,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34
P1,P1-handover-rejected,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.rejected,formal:formal-all-006-map:P1-handover-rejected-01:b53bf12a,0.20259,0.450325,0.805756,0.25117,0.921841,report,active,stable,1.0,0.0,0.97,0.34,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34
P1,P1-handover-rejected,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.rejected,formal:formal-all-006-map:P1-handover-rejected-02:02570331,0.20259,0.450325,0.805756,0.25117,0.921841,report,active,stable,1.0,0.0,0.97,0.34,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34
P1,P1-high-risk-requirement,,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P1-high-risk-requirement-01:efd478ad,0.316086,0.706133,0.729339,0.334849,1.0,report,active,stable,1.0,0.0,0.88,0.76,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76
P1,P1-high-risk-requirement,,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P1-high-risk-requirement-02:c94b7d92,0.316086,0.706133,0.729339,0.334849,1.0,report,active,stable,1.0,0.0,0.88,0.76,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76
P1,P1-low-risk-requirement,,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P1-low-risk-requirement-01:67ff1103,0.29771,0.706133,0.663149,0.301059,1.0,report,active,stable,1.0,0.0,0.88,0.76,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76
P1,P1-low-risk-requirement,,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P1-low-risk-requirement-02:271e07ac,0.29771,0.706133,0.663149,0.301059,1.0,report,active,stable,1.0,0.0,0.88,0.76,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76
P1,P1-rent-failed,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.sys.rent.failed,formal:formal-all-006-map:P1-rent-failed-01:83504e94,0.0,0.0,0.661474,0.320089,1.0,none,active,stable,1.0,0.0,0.91,0.62,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.91 restraint=0.62
P1,P1-rent-failed,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.sys.rent.failed,formal:formal-all-006-map:P1-rent-failed-02:de6fa22d,0.0,0.0,0.661474,0.320089,1.0,none,active,stable,1.0,0.0,0.91,0.62,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.91 restraint=0.62
P1,P1-reward-issued,1,poca.reward,poca.reward.issued,formal:formal-all-006-map:P1-reward-issued-01:e6ac6dc5,0.0,0.0,0.470133,0.207328,1.0,none,active,stable,1.0,0.0,0.94,0.48,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.94 restraint=0.48
P1,P1-reward-issued,2,poca.reward,poca.reward.issued,formal:formal-all-006-map:P1-reward-issued-02:642948a3,0.0,0.0,0.470133,0.207328,1.0,none,active,stable,1.0,0.0,0.94,0.48,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.94 restraint=0.48
P2,P2-opportunity-risk-requirement,,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P2-opportunity-risk-requirement:8e5f6629,0.316086,0.706133,0.729339,0.334849,1.0,report,active,stable,1.0,0.0,0.88,0.76,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76
P2,P2-pressure-chat,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.chat.message.sent,formal:formal-all-006-map:P2-pressure-chat:0e8d69bc,0.0,0.0,0.830261,0.290017,1.0,none,active,stable,1.0,0.0,0.97,0.34,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34
P2,P2-rejection-feedback,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.rejected,formal:formal-all-006-map:P2-rejection-feedback:85519eed,0.175235,0.450325,0.805756,0.25117,1.0,none,active,stable,1.0,0.0,0.97,0.34,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34
P2,P2-reputation-down,1,poca.reputation,poca.reputation.decreased,formal:formal-all-006-map:P2-reputation-down:9a9e6dd3,0.0,0.0,0.470133,0.207328,1.0,none,active,stable,1.0,0.0,0.94,0.48,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.94 restraint=0.48
