phase,scenario_id,sequence,subject,event_type,event_id,runtime_transition_rows,tension_deltas,tension_values_after,overall_score,value_potential,mutual_benefit_potential,learning_potential,risk_cost,recommended_depth,life_state_summary,missing_core_modules
P0,P0-login-response-smoke,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.sys.login.response,formal:formal-all-006-map:P0-login-response-smoke:abb61bed,1,constraint:risk:update:0.282; social:relationship:generate:0.1415; memory:soul-summary:update:0.1,"constraint:risk:act=0.774779,int=1.0,trend=0.052; memory:soul-summary:act=0.464867,int=0.6,trend=0.1; social:relationship:act=0.552804,int=0.7135,trend=0.1415",0.0,0.0,0.661474,0.320089,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.91 restraint=0.62,
P0,P0-system-broadcast-smoke,1,sys.broadcast,sys.broadcast.notice_published,formal:formal-all-006-map:P0-system-broadcast-smoke:74f093ec,1,goal:unsatisfied:update:0.216; value:world-opportunity:generate:0.12; constraint:risk:update:0.32; social:relationship:generate:0.152; memory:soul-summary:update:0.1,"constraint:risk:act=0.634075,int=1.0,trend=0.0; goal:unsatisfied:act=0.514869,int=0.812,trend=0.216; memory:soul-summary:act=0.380445,int=0.6,trend=0.1; social:relationship:act=0.472386,int=0.745,trend=0.152; value:world-opportunity:act=0.355082,int=0.56,trend=0.12",0.32409,0.715914,0.689691,0.395536,1.0,report,cycle=cooldown recovery=cooldown energy=1.00 fatigue=0.00 wakefulness=0.79 restraint=1.00,
P1,P1-chat-pressure,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.chat.message.sent,formal:formal-all-006-map:P1-chat-pressure-01:06cd5960,1,constraint:risk:update:0.254; social:relationship:generate:0.145; memory:soul-summary:update:0.1,"constraint:risk:act=0.820454,int=0.934,trend=0.254; memory:soul-summary:act=0.439215,int=0.5,trend=0.1; social:relationship:act=0.51476,int=0.586,trend=0.145",0.0,0.0,0.945981,0.290037,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P1,P1-chat-pressure,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.chat.message.sent,formal:formal-all-006-map:P1-chat-pressure-02:1dcad76a,1,constraint:risk:update:0.254; social:relationship:generate:0.145; memory:soul-summary:update:0.1,"constraint:risk:act=0.820454,int=0.934,trend=0.254; memory:soul-summary:act=0.439215,int=0.5,trend=0.1; social:relationship:act=0.51476,int=0.586,trend=0.145",0.0,0.0,0.945981,0.290037,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P1,P1-handover-rejected,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.rejected,formal:formal-all-006-map:P1-handover-rejected-01:b53bf12a,1,goal:unsatisfied:generate:0.195; value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.124; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; goal:unsatisfied:act=0.346777,int=0.395,trend=0.195; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.284445,int=0.324,trend=0.124; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.20259,0.450325,0.805756,0.25117,0.921841,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P1,P1-handover-rejected,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.rejected,formal:formal-all-006-map:P1-handover-rejected-02:02570331,1,goal:unsatisfied:generate:0.195; value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.124; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; goal:unsatisfied:act=0.346777,int=0.395,trend=0.195; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.284445,int=0.324,trend=0.124; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.20259,0.450325,0.805756,0.25117,0.921841,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P1,P1-high-risk-requirement,,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P1-high-risk-requirement-01:efd478ad,1,goal:unsatisfied:update:0.204; value:world-opportunity:generate:0.12; constraint:risk:update:0.296; social:relationship:generate:0.145; memory:soul-summary:update:0.1,"constraint:risk:act=0.723724,int=1.0,trend=0.264; goal:unsatisfied:act=0.43134,int=0.596,trend=0.204; memory:soul-summary:act=0.361862,int=0.5,trend=0.1; social:relationship:act=0.434234,int=0.6,trend=0.145; value:world-opportunity:act=0.318439,int=0.44,trend=0.12",0.316086,0.706133,0.729339,0.334849,1.0,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76,
P1,P1-high-risk-requirement,,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P1-high-risk-requirement-02:c94b7d92,1,goal:unsatisfied:update:0.204; value:world-opportunity:generate:0.12; constraint:risk:update:0.296; social:relationship:generate:0.145; memory:soul-summary:update:0.1,"constraint:risk:act=0.723724,int=1.0,trend=0.264; goal:unsatisfied:act=0.43134,int=0.596,trend=0.204; memory:soul-summary:act=0.361862,int=0.5,trend=0.1; social:relationship:act=0.434234,int=0.6,trend=0.145; value:world-opportunity:act=0.318439,int=0.44,trend=0.12",0.316086,0.706133,0.729339,0.334849,1.0,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76,
P1,P1-low-risk-requirement,,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P1-low-risk-requirement-01:67ff1103,1,goal:unsatisfied:update:0.204; value:world-opportunity:generate:0.12; constraint:risk:update:0.296; social:relationship:generate:0.138; memory:soul-summary:update:0.1,"constraint:risk:act=0.552925,int=0.764,trend=0.296; goal:unsatisfied:act=0.43134,int=0.596,trend=0.204; memory:soul-summary:act=0.28949,int=0.4,trend=0.1; social:relationship:act=0.33436,int=0.462,trend=0.138; value:world-opportunity:act=0.318439,int=0.44,trend=0.12",0.29771,0.706133,0.663149,0.301059,1.0,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76,
P1,P1-low-risk-requirement,,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P1-low-risk-requirement-02:271e07ac,1,goal:unsatisfied:update:0.204; value:world-opportunity:generate:0.12; constraint:risk:update:0.296; social:relationship:generate:0.138; memory:soul-summary:update:0.1,"constraint:risk:act=0.552925,int=0.764,trend=0.296; goal:unsatisfied:act=0.43134,int=0.596,trend=0.204; memory:soul-summary:act=0.28949,int=0.4,trend=0.1; social:relationship:act=0.33436,int=0.462,trend=0.138; value:world-opportunity:act=0.318439,int=0.44,trend=0.12",0.29771,0.706133,0.663149,0.301059,1.0,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76,
